impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,status
graph,1024,64,50,12,4,10.8077,16.4926,27.3003,1461.7,success
graph,1024,64,100,12,4,9.1749,10.5826,19.7575,1799.3,success
graph,1024,64,200,12,4,9.4465,18.7599,28.2063,2399.5,success
graph,1024,64,400,12,4,9.2721,32.1379,41.4101,3649.9,success
graph,1024,64,800,12,4,9.0857,221.4632,230.5489,6150.6,success
graph,1024,64,1600,12,4,9.1230,11.5425,20.6655,10752.5,success
